Iteration, Cost, Drag, Lift, Volume, Fx, Fy, Fz
127,1.19998e-06,1.19998e-06,8.34653e-11,0.0313177,1.19998e-06,8.34653e-11,1.32518e-25
128,1.19276e-06,1.19276e-06,8.18664e-11,0.0313177,1.19276e-06,8.18664e-11,-2.16707e-25
129,1.18563e-06,1.18563e-06,8.02872e-11,0.0313177,1.18563e-06,8.02872e-11,3.53631e-25
130,1.17859e-06,1.17859e-06,7.87572e-11,0.0313177,1.17859e-06,7.87572e-11,-1.67276e-25
131,1.17164e-06,1.17164e-06,7.72434e-11,0.0313177,1.17164e-06,7.72434e-11,4.14435e-25
132,1.16478e-06,1.16478e-06,7.57759e-11,0.0313177,1.16478e-06,7.57759e-11,6.11269e-25
133,1.15801e-06,1.15801e-06,7.43237e-11,0.0313177,1.15801e-06,7.43237e-11,-1.07277e-24
134,1.15132e-06,1.15132e-06,7.29163e-11,0.0313177,1.15132e-06,7.29163e-11,1.32035e-25
135,1.14471e-06,1.14471e-06,7.15232e-11,0.0313177,1.14471e-06,7.15232e-11,2.43161e-25
136,1.13818e-06,1.13818e-06,7.01681e-11,0.0313177,1.13818e-06,7.01681e-11,3.1439e-25
137,1.13173e-06,1.13173e-06,6.88404e-11,0.0313177,1.13173e-06,6.88404e-11,8.4948e-25
138,1.12536e-06,1.12536e-06,6.75349e-11,0.0313177,1.12536e-06,6.75349e-11,7.33287e-25
139,1.11906e-06,1.11906e-06,6.62603e-11,0.0313177,1.11906e-06,6.62603e-11,2.07566e-25
140,1.11285e-06,1.11285e-06,6.50067e-11,0.0313177,1.11285e-06,6.50067e-11,-4.76117e-25
141,1.1067e-06,1.1067e-06,6.37823e-11,0.0313177,1.1067e-06,6.37823e-11,-4.46128e-25
142,1.10063e-06,1.10063e-06,6.25784e-11,0.0313177,1.10063e-06,6.25784e-11,-6.07756e-26
143,1.09462e-06,1.09462e-06,6.1402e-11,0.0313177,1.09462e-06,6.1402e-11,5.02523e-25
144,1.08869e-06,1.08869e-06,6.02508e-11,0.0313177,1.08869e-06,6.02508e-11,-5.18387e-26
145,1.08283e-06,1.08283e-06,5.91121e-11,0.0313177,1.08283e-06,5.91121e-11,-7.60159e-25
146,1.07703e-06,1.07703e-06,5.79992e-11,0.0313177,1.07703e-06,5.79992e-11,-3.48554e-25
147,1.0713e-06,1.0713e-06,5.69132e-11,0.0313177,1.0713e-06,5.69132e-11,9.24531e-25
148,1.06563e-06,1.06563e-06,5.58432e-11,0.0313177,1.06563e-06,5.58432e-11,-5.28223e-25
149,1.06003e-06,1.06003e-06,5.47996e-11,0.0313177,1.06003e-06,5.47996e-11,-1.18094e-25
150,1.05449e-06,1.05449e-06,5.37728e-11,0.0313177,1.05449e-06,5.37728e-11,-1.61715e-25
151,1.04901e-06,1.04901e-06,5.27615e-11,0.0313177,1.04901e-06,5.27615e-11,3.02611e-25
152,1.04359e-06,1.04359e-06,5.17753e-11,0.0313177,1.04359e-06,5.17753e-11,-1.27235e-25
